field,non_null_n,non_null_pct,unique_n
CITATIONS,109882,100.0,17164
core_numeric_count,109882,100.0,50
flag_basalt_name,109882,100.0,2
flag_silica_40_55,109882,100.0,2
flag_strict_candidate,109882,100.0,2
flag_volcanic,109882,100.0,2
flag_whole_rock,109882,100.0,2
source_file,109882,100.0,9
MATERIAL,99605,90.647,7297
ROCK NAME,99605,90.647,11513
ROCK TYPE,99605,90.647,5
SAMPLE NAME,99605,90.647,95029
UNIQUE_ID,99605,90.647,99605
LAND OR SEA,99414,90.473,4
LATITUDE MAX,99414,90.473,21124
LATITUDE MIN,99414,90.473,21120
LONGITUDE MAX,99414,90.473,22258
LONGITUDE MIN,99414,90.473,22275
TECTONIC SETTING,99414,90.473,11
LOCATION,99388,90.45,8308
K2O(WT%),86449,78.674,8829
SIO2(WT%),86013,78.278,10503
MGO(WT%),85855,78.134,10188
TIO2(WT%),85224,77.56,9306
NA2O(WT%),84997,77.353,8358
CAO(WT%),84860,77.228,9716
AL2O3(WT%),84818,77.19,9361
MNO(WT%),83300,75.809,6855
P2O5(WT%),82881,75.427,7808
SR(PPM),73667,67.042,17601
RB(PPM),71182,64.78,12993
ZR(PPM),70594,64.245,13874
BA(PPM),69102,62.887,16729
Y(PPM),68166,62.036,11234
LOCATION COMMENT,67738,61.646,15746
NI(PPM),65252,59.384,12527
NB(PPM),65076,59.224,12059
FEOT(WT%),64552,58.747,4944
CR(PPM),62499,56.878,13886
LA(PPM),60625,55.173,13045
CE(PPM),60124,54.717,15231
AGE,57958,52.746,5103
V(PPM),57225,52.079,11372
ND(PPM),56787,51.68,13444
TH(PPM),55881,50.855,10668
SM(PPM),54452,49.555,10665
YB(PPM),52325,47.619,8824
EU(PPM),52077,47.394,9066
LU(PPM),49755,45.28,7833
SC(PPM),48419,44.065,9907
TB(PPM),47603,43.322,8297
LOI(WT%),47534,43.259,4594
HF(PPM),46853,42.639,9578
U(PPM),46350,42.182,9123
GD(PPM),45050,40.999,9382
PB(PPM),44642,40.627,10086
DY(PPM),44474,40.474,9120
ZN(PPM),43952,39.999,8326
ER(PPM),43895,39.947,8554
CO(PPM),43274,39.382,9217
