province,georoc_citation_id,mapped,doi,year,title,doi_overlap_petdb,title_overlap_petdb,publication_overlap_petdb
Central Aleutian arc,2233,True,10.1016/0016-7037(87)90173-6,1987.0,ALEUTIAN LEAD ISOTOPIC DATA: ADDITIONAL EVIDENCE FOR THE EVOLUTION OF LITHOSPHERIC PLUMBING SYSTEMS,False,False,False
Central Aleutian arc,2242,True,10.1007/BF00373960,1986.0,ND AND SR ISOTOPES IN THE ALEUTIAN MULTICOMPONENT PARENTHOOD OF ISLAND-ARC MAGMAS,False,False,False
Central Aleutian arc,2245,True,10.1007/BF00413349,1985.0,STRONTIUM ISOTOPIC AND SELECTED TRACE ELEMENT VARIATIONS BETWEEN TWO ALEUTIAN VOLCANIC CENTERS (ADAK AND ATKA): IMPLICATIONS FOR THE DEVELOPMENT OF ARC VOLCANIC PLUMBING SYSTEMS,False,True,True
Central Aleutian arc,2252,True,10.1016/0377-0273(94)90065-5,1994.0,"A PETROLOGIC RE-INVESTIGATION OF THE ADAK VOLCANIC CENTER, CENTRAL ALEUTIAN ARC, ALASKA",False,True,True
Central Aleutian arc,2502,True,10.1086/628172,1976.0,SOME ALEUTIAN ANDESITES: THEIR NATURE AND SOURCE,False,False,False
Central Aleutian arc,7197,True,10.1093/petrology/egh036,2004.0,"VARIABLE IMPACT OF THE SUBDUCTED SLAB ON ALEUTIAN ISLAND ARC MAGMA SOURCES: EVIDENCE FROM SR, ND, PB AND HF ISOTOPES AND TRACE ELEMENT ABUNDANCES",False,True,True
Central Aleutian arc,9411,True,10.1130/B25861.1,2006.0,"VOLCANIC HISTORY AND MAGMATIC EVOLUTION OF SEGUAM ISLAND, ALEUTIAN ISLAND ARC, ALASKA",False,True,True
Central Aleutian arc,11837,True,10.1093/petrology/egn008,2008.0,"MAGMATIC DIFFERENTIATION AT AN ISLAND-ARC CALDERA: OKMOK VOLCANO, ALEUTIAN ISLANDS, ALASKA",False,True,True
Central Aleutian arc,16078,True,10.1130/B30472.1,2012.0,"GEOLOGY AND 40AR/39AR GEOCHRONOLOGY OF THE MEDIUM- TO HIGH-K TANAGA VOLCANIC CLUSTER, WESTERN ALEUTIANS",False,False,False
Central Aleutian arc,22260,True,10.1016/j.jvolgeores.2018.06.016,2018.0,QUANTIFYING ARC MIGRATION AND THE ROLE OF FOREARC SUBDUCTION EROSION IN THE CENTRAL ALEUTIANS,False,True,True
Southern Andean Volcanic Zone,1672,True,10.1016/0024-4937(96)00008-4,1996.0,"PETROGENESIS OF LAVAS FROM THE UMU VOLCANIC FIELD IN THE YOUNG HOTSPOT REGION WEST OF EASTER ISLAND, SOUTHEASTERN PACIFIC",False,False,False
Southern Andean Volcanic Zone,2974,True,10.2973/dsdp.proc.58.135.1980,1981.0,MAJOR AND TRACE ELEMENT VARIATIONS IN BASALTS FROM THE NORTH PHILIPPINE SEA DRILLED DURING DSDP LEG 58: A COMPARATIVE STUDY OF BACK-ARC-BASIN BASALTS WITH LAVA SERIES FROM JAPAN AND MID-OCEAN RIDGES,False,False,False
Southern Andean Volcanic Zone,3215,True,10.1007/BF00371418,1984.0,"PETROGENESIS OF THE LAGUNA DEL MAULE VOLCANIC COMPLEX, CHILE (36°S)",False,False,False
Southern Andean Volcanic Zone,3216,True,10.1093/petrology/29.2.333,1988.0,"RECENT VOLCANISM IN THE PUYEHUE-CORDON CAULLE REGION, SOUTHERN ANDES, CHILE (40.5°S): PETROGENESIS OF EVOLVED LAVAS",False,False,False
