province,location_pattern,rift_rows,strict_index_rows,model_ready_common18,citation_id_n,citation_id_mapped_n,publication_overlap_petdb_n,exact_sample_name_collision_n,latitude_min,latitude_max,longitude_min,longitude_max,median_nb_y,median_zr_y,median_thickness_proxy_k2o
Big Pine volcanic field,BIG PINE VOLCANIC FIELD,86,82,70,6,6,0,0,36.8383,37.1069,-118.3129,-118.1619,0.5874055440337894,7.925985249391587,1.867955
Virunga province,VIRUNGA PROVINCE,127,94,62,4,2,0,0,-1.63062500266214,-0.08,29.1375333407664,29.92,4.088311688311688,10.84659090909091,3.21
San Rafael subvolcanic field,SAN RAFAEL SUBVOLCANIC FIELD,102,100,56,1,1,0,0,38.4953854143478,38.6826921351152,-111.331713835096,-111.086090151628,1.362844321032389,9.460834518785234,3.070265297149045
Pantelleria,SICILY CHANNEL RIFT / PANTELLERIA,97,80,50,8,8,0,0,36.4194,36.8391,11.9286,12.3667,1.2701940298507464,6.086504603113996,0.99
Oslo Rift,OSLO-SKAGERRAK RIFT / OSLO RIFT,89,56,5,1,1,0,0,59.49,59.49,10.3,10.3,2.652173913043478,10.130434782608695,1.59
Cima volcanic field,CIMA VOLCANIC FIELD,35,32,2,3,3,0,0,35.0,35.0,-115.5,-115.5,0.3849789915966386,4.465336134453781,1.085
"Asal Rift, Djibouti",RED SEA RIFT / ASAL RIFT / DJIBOUTI,56,56,0,0,0,0,0,,,,,,,
Baikal Rift system,BAIKAL,0,0,0,0,0,0,0,,,,,,,
West Antarctic Rift,ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM,114,106,58,16,16,1,0,-87.37,-69.4538,-149.5,167.0,1.376702778645684,7.554448398576512,0.89
Main Ethiopian Rift,EAST AFRICAN RIFT / ETHIOPIAN RIFT / MAIN ETHIOPIAN RIFT,653,518,340,26,25,7,0,5.5,12.43,35.43,42.034543,1.0247386946356212,5.939229704797048,0.91
