TECTONIC SETTING,province_root,model_ready_common18,location_n,citation_bundle_n,sample_name_n
CONVERGENT MARGIN,ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE,1137,144,124,1137
CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC,837,48,90,836
CONVERGENT MARGIN,MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT,522,75,75,521
CONVERGENT MARGIN,CASCADES / HIGH CASCADES,481,38,78,481
CONVERGENT MARGIN,IZU-BONIN ARC / IZU ARC,413,22,28,284
CONVERGENT MARGIN,AEOLIAN ARC / ITALY,411,25,75,411
CONVERGENT MARGIN,GREATER ANTILLES / GREATER ANTILLES,372,68,25,367
CONVERGENT MARGIN,HONSHU ARC / NORTHEASTERN HONSHU ARC,348,91,44,348
CONVERGENT MARGIN,LESSER ANTILLES / LESSER ANTILLES,335,55,75,298
CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT,321,26,17,320
CONVERGENT MARGIN,ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE,314,79,57,314
CONVERGENT MARGIN,SUNDA ARC / SUNDA ARC,300,45,46,298
CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-NORTHWESTERN SEGMENT,292,51,68,292
CONVERGENT MARGIN,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE,247,53,46,243
CONVERGENT MARGIN,HONSHU ARC / SOUTHWESTERN HONSHU ARC,245,30,23,245
CONVERGENT MARGIN,TONGA ARC / TONGA ISLANDS,237,15,46,236
CONVERGENT MARGIN,LUZON ARC / LUZON ARC,209,31,53,209
CONVERGENT MARGIN,NEW ZEALAND / COROMANDEL-TAUPO,209,51,33,209
CONVERGENT MARGIN,KURILE ARC / KURILE ARC,201,39,30,201
CONVERGENT MARGIN,ALEUTIAN ARC / CENTRAL ALEUTIAN ARC,180,20,8,180
CONVERGENT MARGIN,ANDEAN ARC / PATAGONIAN PLATEAU LAVAS,178,17,23,178
CONVERGENT MARGIN,SIKHOTE-ALIN-SAKHALIN ARC / SIKHOTE ALIN ARC,152,20,13,152
CONVERGENT MARGIN,TONGA ARC / LAU BASIN,148,11,38,148
CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA BACK ARC,127,26,8,127
CONVERGENT MARGIN,LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA,125,9,23,125
CONVERGENT MARGIN,AEGEAN ARC / SOUTH AEGEAN VOLCANIC ARC,120,11,18,120
CONVERGENT MARGIN,NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / CENTRAL NEW HEBRIDES ARC,115,16,17,115
CONVERGENT MARGIN,IZU-BONIN-MARIANA ARC / AMAMI SANKAKU BASIN,111,1,3,111
CONVERGENT MARGIN,IZU-BONIN-MARIANA ARC / MARIANA ARC - CENTRAL ISLAND PROVINCE,109,11,36,109
CONVERGENT MARGIN,ANDEAN ARC / AUSTRAL VOLCANIC ZONE,108,7,4,108
CONVERGENT MARGIN,KERMADEC ARC / KERMADEC ISLANDS,105,16,24,105
CONVERGENT MARGIN,SCOTIA ARC / SOUTH SHETLAND ISLANDS,95,13,16,95
CONVERGENT MARGIN,HONSHU ARC / CENTRAL HONSHU ARC,94,15,12,94
CONVERGENT MARGIN,IZU-BONIN ARC / IZU-BONIN FORE-ARC,89,3,3,89
CONVERGENT MARGIN,RYUKYU ARC / RYUKYU ARC,84,29,14,81
CONVERGENT MARGIN,ALEUTIAN ARC / WESTERN ALEUTIAN ARC,82,7,6,82
CONVERGENT MARGIN,BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC,81,27,25,81
CONVERGENT MARGIN,SUNDA ARC / ANDAMAN ARC,68,6,8,68
CONVERGENT MARGIN,IZU-BONIN-MARIANA ARC / MARIANA TROUGH,67,6,10,67
