feature,row_non_null,row_non_null_pct,sample_non_null,sample_non_null_pct,numeric_valid,numeric_invalid,nonpositive,min,max
SiO2 (wt%),5309,23.4083,4861,63.3933,5309,0,0,0.43,74.71
TiO2 (wt%),5526,24.3651,4975,64.88,5526,0,0,0.02,6.39
Al2O3 (wt%),5291,23.3289,4847,63.2107,5291,0,0,0.13,26.19
FeOT (wt%),1334,5.8818,1234,16.0929,1334,0,0,0.15,22.2
CaO (wt%),5323,23.47,4872,63.5368,5323,0,0,0.15,32.8
MgO (wt%),5494,24.224,5014,65.3886,5494,0,0,0.11,28.1
MnO (wt%),5209,22.9674,4790,62.4674,5209,0,0,0.01,8.64
K2O (wt%),5487,24.1931,4979,64.9322,5487,0,0,0.003,4.62
Na2O (wt%),5426,23.9242,4925,64.228,5426,0,0,0.02,9.23
P2O5 (wt%),4924,21.7108,4521,58.9593,4924,0,0,0.01,99.3
V (ppm),4597,20.269,4099,53.4559,4597,0,0,3.08,817.0
Cr (ppm),4924,21.7108,4369,56.977,4924,0,0,0.68,3023.0
Ni (ppm),4421,19.4929,3837,50.0391,4421,0,0,0.53,5433.0
Rb (ppm),4869,21.4683,4073,53.1168,4869,0,4,-0.59,805.0
Sr (ppm),5543,24.44,4665,60.8372,5543,0,0,13.0,2354.0
Y (ppm),5086,22.425,4376,57.0683,5086,0,0,8.6,266.0
Zr (ppm),5206,22.9541,4502,58.7115,5206,0,0,8.1,947.0
Nb (ppm),4552,20.0705,3974,51.8258,4552,0,0,0.2,121.0
La (ppm),4212,18.5714,3674,47.9134,4212,0,0,0.18,140.0
Ce (ppm),3654,16.1111,3312,43.1925,3654,0,0,1.44,270.0
Nd (ppm),3792,16.7196,3329,43.4142,3792,0,0,1.66,110.0
Sm (ppm),4246,18.7213,3622,47.2353,4246,0,0,0.75,17.9
Eu (ppm),3952,17.425,3539,46.1528,3952,0,0,0.28,13.67
Yb (ppm),3950,17.4162,3462,45.1487,3950,0,0,0.5,19.1
Lu (ppm),3593,15.8422,3186,41.5493,3593,0,0,0.14,12.72
Hf (ppm),2927,12.9056,2667,34.7809,2927,0,0,0.23,21.9
Ta (ppm),2596,11.4462,2449,31.9379,2596,0,0,0.01,11.92
Th (ppm),3001,13.2319,2647,34.5201,3001,0,0,0.01,18.22
U (ppm),2687,11.8474,2377,30.999,2687,0,0,6.2e-05,13.8
