cohort,feature,samples,non_null,non_null_pct,min,median,max
all_sample_urls,SIO2(WT%),7668,4861,63.3933,0.43,49.98,74.71
all_sample_urls,TIO2(WT%),7668,4975,64.88,0.02,1.5,6.39
all_sample_urls,AL2O3(WT%),7668,4847,63.2107,0.13,14.89,26.19
all_sample_urls,FEOT(WT%),7668,5008,65.3104,0.12597200000000003,9.9115483,31.088089999999998
all_sample_urls,CAO(WT%),7668,4872,63.5368,0.15,11.3625,32.8
all_sample_urls,MGO(WT%),7668,5014,65.3886,0.11,7.6,28.1
all_sample_urls,MNO(WT%),7668,4790,62.4674,0.01,0.18,8.64
all_sample_urls,K2O(WT%),7668,4979,64.9322,0.003,0.16,4.62
all_sample_urls,NA2O(WT%),7668,4925,64.228,0.02,2.6,9.23
all_sample_urls,P2O5(WT%),7668,4521,58.9593,0.01,0.16,99.3
all_sample_urls,V(PPM),7668,4099,53.4559,3.08,300.6,817.0
all_sample_urls,CR(PPM),7668,4369,56.977,0.68,250.0,3023.0
all_sample_urls,NI(PPM),7668,3837,50.0391,0.53,85.55,5433.0
all_sample_urls,RB(PPM),7668,4071,53.0908,0.01,2.4,805.0
all_sample_urls,SR(PPM),7668,4665,60.8372,13.0,121.4,2354.0
all_sample_urls,Y(PPM),7668,4376,57.0683,8.6,32.0,260.5
all_sample_urls,ZR(PPM),7668,4502,58.7115,8.1,100.0,947.0
all_sample_urls,NB(PPM),7668,3974,51.8258,0.2,4.0,121.0
all_sample_urls,LA(PPM),7668,3674,47.9134,0.18,4.005,140.0
all_sample_urls,CE(PPM),7668,3312,43.1925,1.47,12.0,270.0
all_sample_urls,ND(PPM),7668,3329,43.4142,1.7,10.405000000000001,110.0
all_sample_urls,TH(PPM),7668,2647,34.5201,0.01,0.22,17.84
all_sample_urls,SM(PPM),7668,3622,47.2353,0.75,3.42,17.9
all_sample_urls,EU(PPM),7668,3539,46.1528,0.28,1.24,13.67
all_sample_urls,YB(PPM),7668,3462,45.1487,0.65,3.09,19.1
all_sample_urls,LU(PPM),7668,3186,41.5493,0.16,0.46,12.72
all_sample_urls,HF(PPM),7668,2667,34.7809,0.23,2.33,21.9
all_sample_urls,TA(PPM),7668,2449,31.9379,0.01,0.24,11.92
all_sample_urls,U(PPM),7668,2377,30.999,6.2e-05,0.1,13.8
exclusive_spreading_center,SIO2(WT%),7557,4802,63.5437,0.43,50.0,74.71
exclusive_spreading_center,TIO2(WT%),7557,4916,65.0523,0.02,1.5,6.39
exclusive_spreading_center,AL2O3(WT%),7557,4788,63.3585,0.13,14.86,26.19
