source_region,source_excel_row,Sample,SiO2,TiO2,Al2O3,Fe2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,LOI,Total,Mg#,Rb,Sr,Y,Zr,Nb,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Pb,Th,U
East Pacific Rise,4,22VI-S03TVG01,51.114000000000004,1.917,13.286,13.01,11.709,0.198,6.574,10.519,2.912,0.102,0.173,-0.7402961184474307,99.06470388155259,0.5002017565515544,1.1476263328827636,104.90908547967915,47.142707562699236,119.25903419650774,2.5363701989420835,9.512317320336832,3.859772822349373,11.972734416102368,2.0570954470321525,12.090270665183635,4.749221774279596,1.6173742362234722,6.307495633710365,1.151167234300554,7.604400328095785,1.6260487672233421,4.664775140223389,0.6894218270126169,4.263128662581496,0.6693977593196876,3.1830430357823447,0.19816092822450082,0.7820914781636834,0.17330617625018266,0.06661061224673247
East Pacific Rise,5,22VI-S06TVG03,51.078,1.419,14.019,10.927,9.8343,0.173,7.437,11.543,2.838,0.109,0.121,-0.3600360036002316,99.30396399639976,0.574108453741901,0.8681044460292877,107.31053539856761,35.81741053212914,85.37814637713814,1.8359074857360946,7.393142225078278,2.8585552546655326,8.812316150679836,1.5209437144540252,9.061802506171782,3.397261649677303,1.2629785829348095,4.6425661496728265,0.8845662481103725,5.864970595328927,1.2410822853550274,3.753092166102201,0.5050090210925494,3.3385934603113196,0.5199901757387168,2.3354455884485774,0.14898658391797084,0.44774124166985213,0.13362190233302032,0.08182098507529147
East Pacific Rise,6,22VI-S07TVG04,51.037000000000006,1.17,14.686,9.782,8.8038,0.158,8.182,12.117,2.536,0.056,0.098,-0.6903451725861061,99.1316548274139,0.6235856281398612,0.6472304466077599,106.30785903179941,30.004920471874865,70.43708708078603,1.5295521669318648,6.604733599384643,2.2218278428449723,6.922298962991405,1.2268590592011581,7.4220671879986995,2.805989936643793,1.1424816467002594,3.9075495217366383,0.758462838362274,5.0288478801331875,1.0157961959094595,3.0131640297165583,0.43466719447348406,2.9104708308194387,0.4387917624862698,1.9048081952397153,0.16643773340528872,0.6035586406016233,0.07882314347711139,0.04418592576648499
East Pacific Rise,7,22VI-S12TVG07,50.723000000000006,1.406,13.853,10.889,9.8001,0.172,7.373,11.46,2.701,0.116,0.12,-0.5200520052005516,98.29294799479945,0.5728465142078433,0.9979493739732003,104.34797443770596,34.845393829142154,86.2228009446423,1.8466904494440717,6.99127726042538,2.8017567593383648,8.654867988134903,1.4882241526301783,8.976776683748282,3.430188259357636,1.2681801317678776,4.687085031148688,0.8526216110743458,5.9352907310125005,1.2751846782010634,3.64435941191611,0.5200454734595101,3.3918050141642073,0.5167692659079879,2.300016874863173,0.15247584457636265,0.5100092760738185,0.11381124382217327,0.050704497893351096
East Pacific Rise,8,22VI-S14TVG09,50.932,1.66,13.790999999999999,11.666,10.499400000000001,0.185,7.028,11.153,2.874,0.113,0.149,-0.5202080832331472,99.03079191676686,0.5440421577110335,0.9609823030066031,116.4877867412722,40.549394468181944,105.36808179762639,2.3679707724905796,8.860540169370903,3.560204294356007,10.884279697814089,1.820042666943234,10.575377766572474,3.9622284926471867,1.44630140070282,5.354192851522575,1.031065357689882,6.641814174805833,1.4299370652163588,4.0853677538275885,0.5949944613080126,3.8854814363304486,0.5760060413953554,2.825731907255731,0.19067355639503505,0.5071507636305678,0.14084873213627444,0.060476231296772064
East Pacific Rise,9,22VI-S20TVG14,50.973000000000006,1.826,13.508999999999999,12.453,11.207699999999999,0.196,6.651,10.781,2.919,0.114,0.168,-0.8797360791763279,98.71026392082369,0.5140484277564085,1.190144848629902,112.23990899107962,43.880307891670846,118.22706572887677,2.817399398386076,10.542630132201609,3.8594552474717885,11.930398050526385,2.0294380472926017,11.900464135695943,4.489585446177044,1.5776702850998778,5.9105205460586285,1.1180015350003154,7.368930809685038,1.5417697954634264,4.5595462884150635,0.6542266143295112,4.331207766403337,0.6469041923050888,3.0909671230209477,0.2526006637884512,0.5508203034215209,0.18890741126037344,0.07783533355264502
East Pacific Rise,10,22VI-S21TVG15,51.118,1.42,13.939,11.015,9.9135,0.176,7.417,11.535,2.759,0.091,0.122,-0.349930013997273,99.24206998600273,0.571486722339326,1.0938754526737282,107.21084275994923,35.55800487913961,86.9707732493403,1.9532985232391202,7.773775140011341,2.818020572276305,8.811202828293256,1.520211806399228,8.763372282384463,3.359562493198363,1.3312931872210656,4.869447982581362,0.9024073261363827,5.92101732379147,1.2450536504604108,3.58203904622547,0.5285405344606243,3.4338060860504704,0.5308292120087926,2.398405895031457,0.1887496168375607,0.9887593529947655,0.10500976990413491,0.053025834950869065
East Pacific Rise,11,22VI-S24TVG18,50.831,1.883,13.085999999999999,12.871,11.5839,0.199,6.554,10.518,2.855,0.097,0.169,-0.8799120087992008,98.18308799120081,0.5021254059837026,0.9575090680416039,103.54158837345749,46.17767468379647,117.26786693090473,2.5726321802747982,9.583615514699591,3.7420201956070582,11.822392799077697,2.0479805258596633,11.930497492702827,4.538076572465177,1.6148728642039742,6.071504139107787,1.140994969455546,7.573186140219777,1.5837460987743344,4.632676857323656,0.6925175672058146,4.469979866344182,0.6628386023237768,3.172524359083639,0.23176444684295736,0.6286012538994639,0.14609869321480837,0.06824623015795606
Southwest Indian Ridge,13,39IV-TVG01b,50.04,1.729,14.14,12.5,11.25,0.221,6.63,9.6,3.45,0.08,0.162,1.8,100.35,0.5123172583331368,0.5417226876468775,124.61409061520206,38.63575832111973,99.08019443816582,6.321788656584888,44.69716757932671,6.092061779711629,15.954931794530859,2.3624692784234815,11.893750976591342,4.254847004375609,1.4056814414865932,5.445303945813019,1.0514525688307004,6.798537455111939,1.426894895468612,4.208180446966055,0.6856793923412882,3.785782898745949,0.5562767151756697,2.919012669762432,0.3950517347282212,0.28994447772959425,0.5828094799360127,0.16155944950920004
Southwest Indian Ridge,14,39IV-TVG02-01,49.02,1.395,14.65,10.67,9.603,0.167,8.03,10.53,3.1,0.49,0.173,1.36,99.59,0.5984837352341191,12.368662991084115,167.07634246946446,27.996813851392606,75.6643983846646,12.525809325329964,152.02410055450997,9.04254455270311,19.394282498137272,2.389294728893461,10.8116639640398,3.0446513115596487,1.2073890916734427,4.265737263768553,0.7338688198150979,4.988405618807616,0.9753151821507476,2.912801431793589,0.4463085303795255,2.769724938595299,0.4023901699293537,2.1880939354664903,0.7300867234765758,0.9616524896806664,1.0705621611552651,0.2346374826113803
