cv_strategy,fold,model,train_n,test_n,fit_seconds,accuracy,balanced_accuracy,macro_f1,weighted_f1,log_loss
random_stratified,1,dummy_prior,43209,10803,0.1376,0.5569749143756364,0.3333333333333333,0.23848592944906857,0.39849204040406716,0.9225190267005546
random_stratified,1,logistic_balanced,43209,10803,0.644,0.6805516986022401,0.7396808326212233,0.6473626797941102,0.6918855390087679,0.7040473590294977
random_stratified,1,random_forest_balanced,43209,10803,2.1485,0.8765157826529668,0.8620569604655429,0.8652828703413681,0.8763079372879241,0.3733342725742689
random_stratified,2,dummy_prior,43209,10803,0.1016,0.5569749143756364,0.3333333333333333,0.23848592944906857,0.39849204040406716,0.9225190267005546
random_stratified,2,logistic_balanced,43209,10803,0.6643,0.672776080718319,0.7313343686743558,0.6394431322560946,0.6841575395947308,0.7254636140222862
random_stratified,2,random_forest_balanced,43209,10803,2.0128,0.8731833749884291,0.8558252934404554,0.8609795734435202,0.8729312922909671,0.3866346977660882
random_stratified,3,dummy_prior,43210,10802,0.0994,0.5570264765784114,0.3333333333333333,0.23850010900370613,0.39855262614570447,0.9223906740501772
random_stratified,3,logistic_balanced,43210,10802,0.7013,0.6808924273282725,0.7374721082218482,0.6469487386862666,0.6919282799136721,0.7074019897929011
random_stratified,3,random_forest_balanced,43210,10802,2.1304,0.8765043510461026,0.8543000687564689,0.8648744316631403,0.876160476491465,0.37601446908528763
random_stratified,4,dummy_prior,43210,10802,0.2204,0.5570264765784114,0.3333333333333333,0.23850010900370613,0.39855262614570447,0.9223906740501772
random_stratified,4,logistic_balanced,43210,10802,0.8901,0.673856693204962,0.7342319722110746,0.6401634699361606,0.6869441110974729,0.7216293330428671
random_stratified,4,random_forest_balanced,43210,10802,2.4241,0.8747454175152749,0.8560587962000644,0.8627735200754326,0.8743874693756669,0.38484264982413646
random_stratified,5,dummy_prior,43210,10802,0.1371,0.5569339011294204,0.3333333333333333,0.23847465017639832,0.398443851729646,0.9224353883965285
random_stratified,5,logistic_balanced,43210,10802,0.8237,0.6758007776337716,0.7249060925779695,0.6388164619923806,0.6880151443619562,0.7277131840928868
random_stratified,5,random_forest_balanced,43210,10802,2.0932,0.868172560636919,0.8454784760637565,0.8500365202165838,0.8679610734060312,0.37783313971534044
citation_set_grouped,1,dummy_prior,43209,10803,0.1013,0.5569749143756364,0.3333333333333333,0.23848592944906857,0.39849204040406716,0.9224041696733524
citation_set_grouped,1,logistic_balanced,43209,10803,0.5833,0.6574099787096177,0.736750376485566,0.6303842752306079,0.6665273976243671,0.7347778400150443
citation_set_grouped,1,random_forest_balanced,43209,10803,1.9947,0.812089234471906,0.789504204971793,0.7958967448835522,0.811389659193329,0.4906379308704292
citation_set_grouped,2,dummy_prior,43210,10802,0.0914,0.5569339011294204,0.3333333333333333,0.23847465017639832,0.398443851729646,0.9225502560566715
citation_set_grouped,2,logistic_balanced,43210,10802,0.5647,0.6615441584891687,0.7276536490746168,0.6280391510748999,0.6769062270187814,0.7283698115936154
citation_set_grouped,2,random_forest_balanced,43210,10802,1.8951,0.8283651175708202,0.7839693976731869,0.7954175889991705,0.8273172496715827,0.4667065381218789
citation_set_grouped,3,dummy_prior,43209,10803,0.1007,0.5569749143756364,0.3333333333333333,0.23848592944906857,0.39849204040406716,0.9225190267005546
citation_set_grouped,3,logistic_balanced,43209,10803,0.6344,0.6675923354623715,0.6836187965842163,0.6235317033697287,0.6781081223667543,0.7494435416736325
citation_set_grouped,3,random_forest_balanced,43209,10803,1.9766,0.8043136165879848,0.757386771975539,0.7704918199053513,0.802635483005814,0.4875229147826481
citation_set_grouped,4,dummy_prior,43210,10802,0.0955,0.5570264765784114,0.3333333333333333,0.23850010900370613,0.39855262614570447,0.9223906740501772
citation_set_grouped,4,logistic_balanced,43210,10802,0.5361,0.6668209590816515,0.7180575458240069,0.6298674893664241,0.6785479739316618,0.7403530818771988
citation_set_grouped,4,random_forest_balanced,43210,10802,2.0261,0.8180892427328272,0.7894525098208591,0.7917624054112248,0.817931557705929,0.4761045789358853
citation_set_grouped,5,dummy_prior,43210,10802,0.1302,0.5570264765784114,0.3333333333333333,0.23850010900370613,0.39855262614570447,0.9223906740501772
citation_set_grouped,5,logistic_balanced,43210,10802,0.6454,0.65469357526384,0.7073368842998838,0.6183875269165203,0.6683013375419096,0.7593256285664253
citation_set_grouped,5,random_forest_balanced,43210,10802,1.8547,0.8100351786706166,0.7636563868169057,0.7740101273552381,0.8091306515170497,0.5007472148491847
location_root_grouped,1,dummy_prior,43207,10805,0.0859,0.5568718186024988,0.3333333333333333,0.23845757539729717,0.39837091101310607,0.9219725752228721
location_root_grouped,1,logistic_balanced,43207,10805,0.5581,0.6081443776029616,0.6848987716101265,0.5859966809537343,0.6163451147090898,0.8189544307412706
location_root_grouped,1,random_forest_balanced,43207,10805,2.1959,0.6894030541416011,0.615790405722891,0.6339894141207694,0.6847293398315691,0.6542336961121636
location_root_grouped,2,dummy_prior,43214,10798,0.1715,0.5572328208927579,0.3333333333333333,0.2385568440876202,0.3987951095226553,0.9219921928101174
location_root_grouped,2,logistic_balanced,43214,10798,0.6601,0.6899425819596221,0.720220573611094,0.6453324836813663,0.706761197554141,0.7493120350292163
location_root_grouped,2,random_forest_balanced,43214,10798,2.1122,0.7932024448972032,0.7160523546981832,0.7364983626645917,0.7899870358981419,0.5975769388985017
location_root_grouped,3,dummy_prior,43215,10797,0.1956,0.5572844308604242,0.3333333333333333,0.23857103207644423,0.39885576549151563,0.9218639018220476
location_root_grouped,3,logistic_balanced,43215,10797,0.769,0.5967398351393906,0.6551818675533796,0.5639120544044908,0.6127433755159085,0.8440314331703692
location_root_grouped,3,random_forest_balanced,43215,10797,2.545,0.7154765212559044,0.6348527476090539,0.6472940916337353,0.7124761270375465,0.624673700367954
location_root_grouped,4,dummy_prior,43215,10797,0.1329,0.5572844308604242,0.3333333333333333,0.23857103207644423,0.39885576549151563,0.9218639018220476
location_root_grouped,4,logistic_balanced,43215,10797,0.7038,0.6414744836528665,0.6065855817124735,0.5652501153820974,0.6541685297175656,0.8188348639983876
location_root_grouped,4,random_forest_balanced,43215,10797,2.3718,0.7413170325090302,0.566266930873717,0.5677619426992134,0.7251439927429663,0.715314700453656
location_root_grouped,5,dummy_prior,43197,10815,0.1069,0.5562644475265834,0.3333333333333333,0.23829045610282615,0.3976575267446885,0.9245672977021598
location_root_grouped,5,logistic_balanced,43197,10815,0.6051,0.6769301895515488,0.744215042387395,0.6518274034705462,0.6809220949695501,0.6917653888431906
location_root_grouped,5,random_forest_balanced,43197,10815,1.9781,0.7545076282940361,0.6420191453166634,0.6667521629218386,0.7463829319470073,0.5557802231228922
citation_overlap_conservative,1,dummy_prior,41165,12847,0.096,0.4682805324200202,0.3333333333333333,0.2126208273692767,0.29869858273221034,1.180486499934398
citation_overlap_conservative,1,logistic_balanced,41165,12847,0.6008,0.6916011520199268,0.7256210461333176,0.6897900626793808,0.6874013176010427,0.7399446240190231
citation_overlap_conservative,1,random_forest_balanced,41165,12847,1.9413,0.7769128979528295,0.7363872189967068,0.7553890724292821,0.7707135262936152,0.5599969463189649
citation_overlap_conservative,2,dummy_prior,43720,10292,0.0995,0.5846288379323746,0.3333333333333333,0.2459582643530157,0.43138288280570214,0.867409279516613
citation_overlap_conservative,2,logistic_balanced,43720,10292,0.7179,0.6548775748153906,0.6989338015705169,0.5869690548408254,0.6802213992787755,0.7620742614147475
