cv_strategy,model,n,accuracy,balanced_accuracy,macro_f1,weighted_f1,log_loss
citation_overlap_conservative,random_forest_balanced,54012,0.79708212989706,0.7284766092111129,0.7471330407441279,0.7946387332966636,0.5150204932165792
citation_overlap_conservative,logistic_balanced,54012,0.659316448196697,0.7094675463918337,0.623027803877537,0.6717323440772166,0.7501663474731142
citation_overlap_conservative,dummy_prior,54012,0.5569873361475228,0.3333333333333333,0.23848934550989345,0.3985066357653652,0.9418448616645672
citation_set_grouped,random_forest_balanced,54012,0.8145782418721765,0.776790819502228,0.7857002772866052,0.813773400680213,0.4843440109021894
citation_set_grouped,logistic_balanced,54012,0.6616122343182996,0.7146794470028235,0.6262607310587405,0.6738755271900542,0.7424539680335672
citation_set_grouped,dummy_prior,54012,0.5569873361475228,0.3333333333333333,0.23848934550989345,0.3985066357653652,0.922450960500102
location_root_grouped,random_forest_balanced,54012,0.7387802710508776,0.6349519494713526,0.6537471610202331,0.7328722839420034,0.6294943484681729
location_root_grouped,logistic_balanced,54012,0.6426534844108717,0.6823830072767231,0.6036023348715006,0.6549858510740955,0.7845531376226594
location_root_grouped,dummy_prior,54012,0.5569873361475228,0.3333333333333333,0.23848934550989345,0.3985066357653652,0.9224525993083189
random_stratified,random_forest_balanced,54012,0.873824335332889,0.8547457482021631,0.860783886818583,0.8735513416062437,0.3797318551479593
random_stratified,logistic_balanced,54012,0.6767755313634007,0.7335259932320289,0.6425418123121945,0.6885867403301629,0.717251003586643
random_stratified,dummy_prior,54012,0.5569873361475228,0.3333333333333333,0.23848934550989345,0.3985066357653652,0.9224509605001021
