citation_set,actual,n,correct,predicted_arc,predicted_cib,predicted_morb,predicted_oib,citation,sample_examples,countries,error_rate
3e9f0fc9b2f89e043bc6233994dfcf76,CIB,59,0,13,0,0,46,"Cancel-vazquez, S., Rooney, T., ... Steiner, R. (2024). Gombe Series and Pliocene Shield Basalts from the Turkana Depression, Kenya, East African Rift. null, null.",K09- 589 || KFW 0.2 || K84-2920 || KBY 2.2 || K86-2899,KENYA,1.0
c78c347465f4775425c059ea101c131f,CIB,49,0,0,0,0,49,"Rooney, T., Brown, E., ... Campisano, C. (2023). MAGMATISM DURING THE CONTINENT – OCEAN TRANSITION. EARTH AND PLANETARY SCIENCE LETTERS, 614, 118189.",2054 || 2129 || 2051 || 2059 || 2058,ETHIOPIA,1.0
8f04ac8eadb8a829a4c2117ade0f23da,CIB,33,0,2,0,2,29,"Hart, W., Woldegabriel, G., ... Mertzman, S. A. (1989). BASALTIC VOLCANISM IN ETHIOPIA: CONSTRAINTS ON CONTINENTAL RIFTING AND MANTLE INTERACTIONS. JOURNAL OF GEOPHYSICAL RESEARCH, 94(B6), 7731.",7627 || 76104 || 767 || 7610 || ET57,<UNRESOLVED> || ETHIOPIA,1.0
4607f7fff0dce694258e1c637512aa9d,CIB,28,0,0,0,0,28,"Bruhn, R., Brown, F., ... Haileab, B. (2011). PLIOCENE VOLCANO-TECTONICS AND PALEOGEOGRAPHY OF THE TURKANA BASIN, KENYA AND ETHIOPIA. JOURNAL OF AFRICAN EARTH SCIENCES, 59(2-3), 295-312.",K84-1815 || K90-4580 || K09-607 || K09-587 || K09-584,KENYA,1.0
1713a23c14b5033adb074b5464fb6c66,CIB,21,3,0,3,0,18,"Roberts, M. (2002). THE GEOCHEMICAL AND VOLCANOLOGICAL EVOLUTION OF THE MT. MERU REGION, NORTHERN TANZANIA. null, null.",MR63 || MR226 || MR105 || MR76 || MR258,TANZANIA,0.8571428571428572
dc0c398086fee58f9d64e1e47aa4e586,CIB,20,0,0,0,0,20,"Trua, T., Deniel, C., ... Mazzuoli, R. (1999). CRUSTAL CONTROL IN THE GENESIS OF PLIO-QUATERNARY BIMODAL MAGMATISM OF THE MAIN ETHIOPIAN RIFT (MER): GEOCHEMICAL AND ISOTOPIC (SR, ND, PB) EVIDENCE. CHEMICAL GEOLOGY, 155(3-4), 201-231.",LA30 || LA22 || GX7 || AS7 || AS20,ETHIOPIA,1.0
f7dafc45da369f8581fdf3bd599075aa,CIB,19,2,1,2,1,15,"Ayalew, D., Jung, S., ... Garbe-schönberg, D. (2018). TRACE ELEMENT SYSTEMATICS AND ND, SR AND PB ISOTOPES OF PLIOCENE FLOOD BASALT MAGMAS (ETHIOPIAN RIFT): A CASE FOR AFAR PLUME-LITHOSPHERE INTERACTION. CHEMICAL GEOLOGY, 493, 172-188.",CD3 || S4 || CD6 || S6 || S7,ETHIOPIA,0.8947368421052632
3e195b0793297114c668f772c6e2d9ba,CIB,14,0,0,0,2,12,"Di Vito, M., Isaia, R., ... Dell'erba, F. (2014). GENESIS AND EVOLUTION OF MAFIC AND FELSIC MAGMAS AT QUATERNARY VOLCANOES WITHIN THE MAIN ETHIOPIAN RIFT: INSIGHTS FROM GEDEMSA AND FANTA 'ALE COMPLEXES. LITHOS, 188, 130-144.",GDM 134A || GDM 102B || GDM 131C || GDM 142 || GDM 131B,ETHIOPIA,1.0
c04c19c2c2474dbf5f7ac4372c5b9af1,CIB,12,0,0,0,5,7,"Hutchison, W., Mather, T., ... Sims, K. W. W. (2018). THE EVOLUTION OF MAGMA DURING CONTINENTAL RIFTING: NEW CONSTRAINTS FROM THE ISOTOPIC AND TRACE ELEMENT SIGNATURES OF SILICIC MAGMAS FROM ETHIOPIAN VOLCANOES. EARTH AND PLANETARY SCIENCE LETTERS, 489, 203-218.",3-31 || BAD 4 || 01 11 || 25 01 || 4-21,ETHIOPIA,1.0
04c6906524cd877e833fe26ddaddc62f,CIB,9,0,0,0,0,9,"Boccaletti, M., Mazzuoli, R., ... Abebe, B. (1999). PLIO-QUATERNARY VOLCANOTECTONIC ACTIVITY IN THE NORTHERN SECTOR OF THE MAIN ETHIOPIAN RIFT: RELATIONSHIPS WITH OBLIQUE RIFTING. JOURNAL OF AFRICAN EARTH SCIENCES, 29(4), 679-698.",Ge54 || GE122 || Ge101 || LA37 || GE77,ETHIOPIA,1.0
