country_audit,actual,predicted,n,actual_n,share_of_country_actual
<UNRESOLVED>,CIB,OIB,3,3,1.0
DEMOCRATIC REPUBLIC OF THE CONGO,CIB,OIB,6,6,1.0
DEMOCRATIC REPUBLIC OF THE CONGO,MORB,OIB,6,6,1.0
DJIBOUTI,MORB,MORB,1,8,0.125
DJIBOUTI,MORB,OIB,7,8,0.875
ETHIOPIA,CIB,ARC,6,197,0.030456852791878174
ETHIOPIA,CIB,CIB,2,197,0.01015228426395939
ETHIOPIA,CIB,MORB,16,197,0.08121827411167512
ETHIOPIA,CIB,OIB,173,197,0.8781725888324873
KENYA,CIB,ARC,13,107,0.12149532710280374
KENYA,CIB,MORB,3,107,0.028037383177570093
KENYA,CIB,OIB,91,107,0.8504672897196262
SUDAN,CIB,OIB,4,4,1.0
TANZANIA,CIB,CIB,3,30,0.1
TANZANIA,CIB,OIB,27,30,0.9
