model,country,actual,n,mean_prob_arc,mean_prob_cib,mean_prob_morb,mean_prob_oib,mean_transition_index
logistic_balanced,<UNRESOLVED>,CIB,3,0.025460585543017698,0.0011401540401283637,0.0031818098943538014,0.9702174505225001,0.9988247024078882
logistic_balanced,DEMOCRATIC REPUBLIC OF THE CONGO,CIB,6,0.0004187834326590597,0.8182293139680211,0.0005461326315358253,0.18080576996778394,0.181019403216655
logistic_balanced,DEMOCRATIC REPUBLIC OF THE CONGO,MORB,6,0.0004187834326590597,0.8182293139680211,0.0005461326315358253,0.18080576996778397,0.181019403216655
logistic_balanced,DJIBOUTI,MORB,8,0.03586876765937345,0.033532905480840446,0.1148141695242364,0.8157841573355498,0.9526773734196607
logistic_balanced,ETHIOPIA,CIB,197,0.09322329826320425,0.11023687807041026,0.06880347691149533,0.7277363467548902,0.8678260964606026
logistic_balanced,KENYA,CIB,107,0.017564547023229342,0.25641860391028076,0.05960437156110196,0.6664124775053879,0.7349488814158751
logistic_balanced,SUDAN,CIB,4,0.004595071716767987,0.0015399758639981919,0.004958178716638106,0.9889067737025957,0.9984453218734558
logistic_balanced,TANZANIA,CIB,30,0.023353984061131924,0.20754099908208104,0.03905890535704834,0.7300461114997387,0.7913665310160868
random_forest_balanced,<UNRESOLVED>,CIB,3,0.059404550483818874,0.028993568631014377,0.28303304525883427,0.6285688356263328,0.9557288378105683
random_forest_balanced,DEMOCRATIC REPUBLIC OF THE CONGO,CIB,6,0.2068455385821549,0.10249912364928117,0.057447153811582885,0.6332081839569811,0.8730241894906436
random_forest_balanced,DEMOCRATIC REPUBLIC OF THE CONGO,MORB,6,0.2068455385821549,0.10249912364928117,0.057447153811582885,0.6332081839569811,0.8730241894906436
random_forest_balanced,DJIBOUTI,MORB,8,0.05011086043952413,0.10051708590327847,0.33974176366734204,0.5096302899898553,0.8241075302483133
random_forest_balanced,ETHIOPIA,CIB,197,0.11850410315529189,0.07251758316792968,0.22503819240283882,0.5839401212739397,0.8839712276260985
random_forest_balanced,KENYA,CIB,107,0.11724899101731706,0.06874117404380245,0.21023748150488733,0.6037723534339933,0.8929831731821763
random_forest_balanced,SUDAN,CIB,4,0.1166772986329062,0.08613067923051337,0.07680368250305997,0.7203883396335204,0.8931950855936592
random_forest_balanced,TANZANIA,CIB,30,0.044978370680556136,0.11598754202205513,0.07205101076560519,0.7669830765317834,0.8679803735462942
