feature,la_palma_median,la_palma_min,la_palma_max,petdb_arc_median,la_palma_median_percentile_in_arc,petdb_cib_median,la_palma_median_percentile_in_cib,petdb_morb_median,la_palma_median_percentile_in_morb,petdb_oib_median,la_palma_median_percentile_in_oib
SIO2(WT%),43.7005,43.0571,44.2783,50.83,0.0,47.98,0.08423326133909287,49.98,0.004657534246575342,48.34,0.06791569086651054
TIO2(WT%),3.6688,3.5179,4.0111,0.9,1.0,2.75,0.8639308855291576,1.51,0.9928767123287672,2.8,0.8477751756440282
AL2O3(WT%),13.63885,13.0677,15.259599999999999,16.99,0.054376657824933686,14.42,0.31533477321814257,14.83,0.13835616438356163,14.32,0.3551912568306011
FEOT(WT%),12.14428567,11.88131912,12.446888410000001,9.200391,0.9283819628647215,11.841368000000001,0.5637149028077754,9.94279,0.8961643835616439,11.35,0.775175644028103
CAO(WT%),10.985,10.290199999999999,11.8397,10.184999999999999,0.7175066312997348,9.64,0.838012958963283,11.4,0.32684931506849313,10.68,0.594847775175644
MGO(WT%),8.079550000000001,5.66615,8.43685,6.655,0.7082228116710876,5.94,0.8293736501079914,7.57,0.7035616438356165,7.41,0.555815768930523
MNO(WT%),0.1959,0.18514999999999998,0.2113,0.17,0.8050397877984085,0.2,0.41252699784017277,0.18,0.670958904109589,0.18,0.8227946916471507
K2O(WT%),1.5066,1.36215,1.86295,0.6675,0.9363395225464191,0.89,0.8920086393088553,0.16,0.9912328767123287,0.66,0.8665105386416861
NA2O(WT%),3.7275,3.4357499999999996,4.52895,2.63,0.9389920424403183,2.94,0.8876889848812095,2.6,0.9687671232876712,2.78,0.9383294301327089
P2O5(WT%),0.796,0.7384,1.0645,0.16,0.9960212201591512,0.42,0.8660907127429806,0.16,0.9934246575342466,0.362,0.9313036690085871
V(PPM),319.6363384748837,300.65395677065953,339.3662449683861,268.0,0.7380952380952381,301.95,0.5771276595744681,300.6,0.5931289996631862,292.0,0.6916076845298281
CR(PPM),266.9531518432857,51.59648501642906,337.47238842573364,148.0,0.6980273141122914,106.45,0.7425,252.0,0.5501432664756447,301.5,0.432258064516129
NI(PPM),117.55149564647779,43.482430179969114,136.46099241973232,40.0,0.7758620689655172,77.0,0.7246376811594203,85.0,0.7396651861974718,84.0,0.5974955277280859
RB(PPM),35.00922894839952,24.708039093277602,80.42676510990142,10.0,0.9640387275242047,18.270000000000003,0.8545454545454545,2.5,0.9939979993331111,12.0,0.8186119873817035
SR(PPM),1028.2060333389882,835.9107493300141,1584.9005455793158,395.0,0.9758713136729222,459.0,0.9131403118040089,122.25,0.9991334488734835,392.0,0.9639780736100235
Y(PPM),29.6116005062861,25.565283233675373,40.8152672159108,19.2,0.93296853625171,31.0,0.43672456575682383,32.2425,0.3655336911150865,26.6,0.6641975308641975
ZR(PPM),299.5523147584237,266.3534362360716,372.30671157540996,58.3,1.0,179.0,0.8666666666666667,102.0,0.991869918699187,185.0,0.8789346246973365
NB(PPM),79.00595771715528,72.14135053625496,98.65383777343044,1.4,1.0,30.21,0.8401015228426396,4.0,0.9974284795885567,24.975,0.953405017921147
LA(PPM),68.48471740945573,57.5290057284483,95.45030394823283,6.49,0.9912891986062717,27.75,0.9308510638297872,4.0,0.9965502371711945,23.985,0.9285714285714286
CE(PPM),146.01017855312884,128.72857505604222,183.72560776650081,15.1,1.0,52.379999999999995,0.9754098360655737,12.1,0.9990808823529411,52.15,0.9661654135338346
ND(PPM),62.807154998064895,55.35945214663012,85.74117568416916,10.9,1.0,30.03,0.9369369369369369,10.7,0.9981132075471698,29.450000000000003,0.9305555555555556
TH(PPM),7.114273135412438,5.376820854637574,9.565412443244718,0.74,0.9605026929982047,2.6,0.9376770538243626,0.21,0.9983905579399142,,
