transformed_feature,scaled_external_value,coefficient_cib_minus_oib,contribution_to_cib_minus_oib_logit
missingindicator_TH(PPM),-1.1028572709365787,-3.7979437693032727,4.1885899005843905
TH(PPM),3.225861714055075,1.221368502644895,3.939965891434942
K2O(WT%),1.521869436294858,1.4353083946233736,2.184351977434751
SR(PPM),1.901286125992164,1.016928006955662,1.9334711107576632
LA(PPM),2.5010250545001043,0.3014989618956699,0.7540564576068426
SIO2(WT%),-2.7672508203606134,-0.18694114593797398,0.5173130394560117
FEOT(WT%),0.8137882458902023,0.6249974132972066,0.5086155486530475
missingindicator_CE(PPM),-0.754166787083928,-0.5605789159701926,0.4227699999642314
missingindicator_CR(PPM),-0.44546666071544216,-0.3733786381240618,0.1663277351076053
NB(PPM),1.8216693391747707,0.070958620982569,0.12926314419406948
missingindicator_ZR(PPM),-0.21884927682213196,-0.589453220384687,0.1290014110016655
missingindicator_NB(PPM),-0.41949435806681024,-0.18118545871694977,0.07600627769550738
V(PPM),0.30885819489318067,0.1536640354566099,0.047460396611130246
Y(PPM),0.04037736584331858,0.5584587466872393,0.022549093123391838
ND(PPM),2.7702925247274126,0.006367187131541718,0.0176389709140506
MNO(WT%),0.18287447024777437,-0.013536368152760436,-0.002475456155014909
AL2O3(WT%),-0.33015202858817255,0.11880567129161557,-0.03922393338470649
CAO(WT%),0.11377930390066941,-0.47555035748709595,-0.05410778864459627
P2O5(WT%),1.843587728486586,-0.037226193552645906,-0.06862975361192446
CR(PPM),0.35929174891345994,-0.2269514105523175,-0.08154176921571882
TIO2(WT%),1.4609731368664058,-0.06082258955448361,-0.0888601694537518
MGO(WT%),0.3641926818681288,-0.2522302907863878,-0.09186042604987256
missingindicator_SR(PPM),-0.18990356412401457,0.5056239215128393,-0.09601978480164919
missingindicator_V(PPM),-0.48838235506426153,0.20813144398654126,-0.10164772477707246
NI(PPM),0.6340552630007151,-0.2117437959200504,-0.13425726821085732
missingindicator_Y(PPM),-0.27933690677618556,0.6983446750747699,-0.1950734413990066
missingindicator_LA(PPM),-0.7044343778168979,0.41403993745775197,-0.29166396573439884
missingindicator_RB(PPM),-0.3636321781108525,0.915895431171668,-0.3330490505587321
NA2O(WT%),1.4600077080175269,-0.41797468169869056,-0.6102462570362606
missingindicator_NI(PPM),-0.7430567270887196,0.9834348101057754,-0.7307478513023139
missingindicator_ND(PPM),-0.7801165901941709,1.1446855092491646,-0.8929881563201363
RB(PPM),1.447366514245231,-0.6305655927955247,-0.9126595240474363
ZR(PPM),1.7385939857458084,-0.7340587067131907,-1.2762300526758996
CE(PPM),2.825913898160245,-0.643037746907567,-1.8171693060277438
