model,actual_label,province_proxy,n,recall,mean_prob_actual,median_prob_actual,mean_outside_train_1_99_n
logistic_balanced,ARC,Costa Rica volcanic front,18,0.9444444444444444,0.9262638187082042,0.9546876260589616,0.5
logistic_balanced,ARC,South New Hebrides arc front,12,0.9166666666666666,0.928901683078997,0.9905085912392599,0.4166666666666667
logistic_balanced,CIB,Big Pine volcanic field,70,0.02857142857142857,0.08878187270651532,0.0649489410200944,0.7142857142857143
logistic_balanced,CIB,Rio Grande Rift/Jemez Lineament,28,0.35714285714285715,0.3421749243209574,0.32043100889035947,0.25
logistic_balanced,MORB,SWIR repository cohort,36,0.9444444444444444,0.8666859288035217,0.9201932586815315,0.027777777777777776
logistic_balanced,MORB,South Mid-Atlantic Ridge 18-20.6 S,12,1.0,0.9535111974968795,0.9677156390689138,0.0
logistic_balanced,OIB,La Palma 2021 eruption,39,0.0,0.3619067580360524,0.39744373578270875,0.9743589743589743
logistic_balanced,OIB,Mauna Loa 2022 eruption,16,1.0,0.5587728414551014,0.5618310668198754,0.0
random_forest_balanced,ARC,Costa Rica volcanic front,18,0.9444444444444444,0.6960735385136902,0.7493475771023375,0.5
random_forest_balanced,ARC,South New Hebrides arc front,12,1.0,0.8033925057534727,0.8412698700604684,0.4166666666666667
random_forest_balanced,CIB,Big Pine volcanic field,70,0.5428571428571428,0.2655837750167324,0.3642909057042758,0.7142857142857143
random_forest_balanced,CIB,Rio Grande Rift/Jemez Lineament,28,0.4642857142857143,0.4319241123496439,0.3701265598175777,0.25
random_forest_balanced,MORB,SWIR repository cohort,36,1.0,0.9179217384453041,0.959334273210232,0.027777777777777776
random_forest_balanced,MORB,South Mid-Atlantic Ridge 18-20.6 S,12,1.0,0.9929308285168962,0.9986907312196515,0.0
random_forest_balanced,OIB,La Palma 2021 eruption,39,0.717948717948718,0.7032498749748842,0.839978231396271,0.9743589743589743
random_forest_balanced,OIB,Mauna Loa 2022 eruption,16,1.0,0.7249870272571126,0.7831445495510292,0.0
