fold,feature,evaluation_n,importance_mean,importance_std_within_fold
1,SIO2(WT%),4000,0.04505737180272115,0.00788393441796271
1,TIO2(WT%),4000,0.137549052731171,0.0015486806343226538
1,AL2O3(WT%),4000,0.08300753851035547,0.005846391164536374
1,FEOT(WT%),4000,0.022040464592249148,0.005204596924707525
1,CAO(WT%),4000,0.07392418222377159,0.004713607835127281
1,MGO(WT%),4000,0.042706699377713486,0.002433689202451892
1,MNO(WT%),4000,0.01089795457826842,0.0009832309815217424
1,K2O(WT%),4000,0.047193544324003384,0.002745502697611589
1,NA2O(WT%),4000,0.04530002367694849,0.006609415628748517
1,P2O5(WT%),4000,0.021393489809578725,0.0012093538926235077
1,V(PPM),4000,0.022347607444048512,0.004211821746774077
1,CR(PPM),4000,0.018603800996279646,0.004026175791275228
1,NI(PPM),4000,0.02202271401880948,0.004525706682489242
1,RB(PPM),4000,0.02087368737112849,0.003885985280177692
1,SR(PPM),4000,0.05959791172543888,0.005689610365220418
1,Y(PPM),4000,0.022319962601380194,0.0034529645718282295
1,ZR(PPM),4000,0.04922594932999602,0.0025715507221573987
1,NB(PPM),4000,0.09407876906909418,0.006513339553876506
1,LA(PPM),4000,0.015780042133259203,0.003310510185199537
1,CE(PPM),4000,0.017800265811435123,0.0009596978703159782
1,ND(PPM),4000,0.010365083851283291,0.0019150143264794008
1,TH(PPM),4000,0.010423307109911434,0.0033279741672601563
2,SIO2(WT%),4000,0.059232469042059616,0.0021281338906671884
2,TIO2(WT%),4000,0.1724193721996373,0.005708820424850637
2,AL2O3(WT%),4000,0.07137677250282112,0.004652774915665216
2,FEOT(WT%),4000,0.010979194784802554,0.0020231980995239034
2,CAO(WT%),4000,0.0717778100662757,0.006666206146422906
2,MGO(WT%),4000,0.058971390242065325,0.001637351299381384
2,MNO(WT%),4000,0.011016462977702923,0.003142458074974149
2,K2O(WT%),4000,0.04053847417677903,0.002576391474764221
2,NA2O(WT%),4000,0.04363227067984987,0.0027002397059346546
2,P2O5(WT%),4000,0.021171783658468835,0.004120812963355719
