feature,importance_mean,importance_sd_between_folds,min_fold,max_fold
TIO2(WT%),0.1586407784766118,0.014968714932561581,0.137549052731171,0.1724193721996373
NB(PPM),0.10216171423646628,0.006778851131422794,0.09407876906909418,0.11183034445262169
AL2O3(WT%),0.07814293313527261,0.00661019797720815,0.07137677250282112,0.0870963671078619
CAO(WT%),0.07142262961120036,0.010020883318234667,0.05578975002274922,0.08369655910047963
SR(PPM),0.058440572773958754,0.00935206669961217,0.0436558063653692,0.06906316780894248
MGO(WT%),0.051846593264849014,0.011864906688544253,0.04024605840724807,0.06869279864792704
SIO2(WT%),0.04951156230597494,0.006374395336851487,0.04452899252814391,0.059232469042059616
NA2O(WT%),0.04633768389076145,0.006722354001013936,0.04043036339211689,0.057904642009105334
ZR(PPM),0.04318489591483689,0.0034869837780423228,0.0402824100192298,0.04922594932999602
K2O(WT%),0.038054484632097624,0.0064702314139537835,0.02990716389778031,0.047193544324003384
NI(PPM),0.02512823963833936,0.0048246507429895,0.02202271401880948,0.033588724947612475
P2O5(WT%),0.021107387491291547,0.0009819192384204404,0.020034997014910683,0.022554628751200734
RB(PPM),0.01970813389947456,0.0022287285863245958,0.016004206633000895,0.02133647832350427
Y(PPM),0.01803527429824544,0.005806174422770369,0.011374889105213365,0.024680180590530038
CR(PPM),0.01745366210430055,0.0032490616072755733,0.011965617584530797,0.02054981897435873
FEOT(WT%),0.016535974960507977,0.004590404767738185,0.010979194784802554,0.022040464592249148
LA(PPM),0.015496628717865635,0.005740762923186868,0.006597552321891159,0.022101444515701868
V(PPM),0.013911185154708693,0.008484673552350991,0.00036544643009589484,0.022347607444048512
CE(PPM),0.012981545999897154,0.0046668785101362,0.006597759423518007,0.017800265811435123
TH(PPM),0.011799686021491057,0.0029118508542797634,0.008597655410133659,0.0156438747758183
MNO(WT%),0.011578348137763862,0.0012649403569522824,0.010258197719670459,0.013405377431818938
ND(PPM),0.008102558351947852,0.002253909059229055,0.005706991728994831,0.010425580537606838
