label,bin,n,mean_predicted_probability,observed_frequency
ARC,0,4557,0.02397688195453433,0.0026333113890717576
ARC,1,541,0.14279892161937377,0.04621072088724584
ARC,2,218,0.2439464044992554,0.16972477064220184
ARC,3,101,0.3370318857677024,0.39603960396039606
ARC,4,80,0.447883442228051,0.775
ARC,5,91,0.5513288439489893,0.8681318681318682
ARC,6,97,0.6478977428085971,0.9278350515463918
ARC,7,128,0.7555308559715318,0.8671875
ARC,8,195,0.8565788541892485,0.9282051282051282
ARC,9,140,0.9419623991363831,0.8357142857142857
CIB,0,4368,0.017034689688108173,0.007097069597069597
CIB,1,690,0.14604589427684928,0.08260869565217391
CIB,2,424,0.24441265525064088,0.21226415094339623
CIB,3,254,0.3426514725585655,0.21653543307086615
CIB,4,119,0.45266439690152377,0.37815126050420167
CIB,5,104,0.544583205120885,0.4326923076923077
CIB,6,86,0.6385803518187189,0.5813953488372093
CIB,7,49,0.753761354176759,0.8163265306122449
CIB,8,38,0.8451627813689375,0.8947368421052632
CIB,9,16,0.9356956851441078,1.0
MORB,0,1325,0.044833465211014084,0.0430188679245283
MORB,1,534,0.14426187034900667,0.13857677902621723
MORB,2,384,0.2501662950468094,0.15625
MORB,3,280,0.34625280096504274,0.25
MORB,4,182,0.4506637980961518,0.4230769230769231
MORB,5,159,0.5552290359965629,0.660377358490566
MORB,6,198,0.6524228816016725,0.8333333333333334
MORB,7,356,0.7531037642665483,0.9382022471910112
MORB,8,584,0.8554203715649981,0.9726027397260274
MORB,9,2146,0.9694744416734107,0.9972041006523765
OIB,0,3253,0.027269319867836813,0.014755610205963726
OIB,1,774,0.14390473706311685,0.07364341085271318
OIB,2,491,0.24682591649304222,0.21384928716904278
OIB,3,360,0.3474262651621608,0.4166666666666667
OIB,4,303,0.4508217961745745,0.6501650165016502
OIB,5,298,0.5493916127063443,0.6879194630872483
OIB,6,284,0.6470212520131169,0.7288732394366197
OIB,7,217,0.749321810495229,0.8294930875576036
OIB,8,128,0.8390314483163128,0.765625
OIB,9,40,0.92470397118965,0.85
