variant,representation,cv_strategy,fold,train_n,test_n,balanced_accuracy,macro_f1,log_loss
all_features,missingness_only,citation_overlap_conservative,1,4918,1230,0.4679214850681225,0.3970815020831816,1.1981790609948388
all_features,missingness_only,citation_overlap_conservative,2,4918,1230,0.5825411185473994,0.5453150225115864,1.008810768802217
all_features,missingness_only,citation_overlap_conservative,3,4918,1230,0.5219046960491456,0.4990840289071894,0.9622235010948474
all_features,missingness_only,citation_overlap_conservative,4,4919,1229,0.5987639000578597,0.534963818365711,1.0156087626015806
all_features,missingness_only,citation_overlap_conservative,5,4919,1229,0.5049786117601438,0.4221623007723212,1.1493377899007904
all_features,missingness_only,location_root_grouped,1,4949,1199,0.35013799501346166,0.3707003110101249,1.2793641746735862
all_features,missingness_only,location_root_grouped,2,4758,1390,0.40913716632316327,0.3704771732982939,1.2474391491718524
all_features,missingness_only,location_root_grouped,3,4990,1158,0.22207376091845482,0.24469877502422577,1.3249267266998084
all_features,missingness_only,location_root_grouped,4,4834,1314,0.5599602296399173,0.502910710365361,0.8046881532336859
all_features,missingness_only,location_root_grouped,5,5061,1087,0.6010083044315481,0.46344456952599167,0.9421608538924305
all_features,values_no_indicator,citation_overlap_conservative,1,4918,1230,0.767636318899498,0.7414253468712095,0.5471490129816611
all_features,values_no_indicator,citation_overlap_conservative,2,4918,1230,0.7632822256679948,0.7365666556283113,0.6400831847695841
all_features,values_no_indicator,citation_overlap_conservative,3,4918,1230,0.6988253708003256,0.687647996250415,1.2656080855178469
all_features,values_no_indicator,citation_overlap_conservative,4,4919,1229,0.8826648482165824,0.8551761394202559,0.4351762680262321
all_features,values_no_indicator,citation_overlap_conservative,5,4919,1229,0.8299822340651859,0.8008101983449494,0.5182162249880407
all_features,values_no_indicator,location_root_grouped,1,4949,1199,0.689913351614857,0.6502767947686223,0.6175337020656151
all_features,values_no_indicator,location_root_grouped,2,4758,1390,0.7306660188204686,0.7248414246221051,1.2773861418008683
all_features,values_no_indicator,location_root_grouped,3,4990,1158,0.8700422527117527,0.7201856414794628,0.5212582478171148
all_features,values_no_indicator,location_root_grouped,4,4834,1314,0.8786841217012287,0.8382044982436007,0.5231163164882372
all_features,values_no_indicator,location_root_grouped,5,5061,1087,0.7724977876864793,0.7507145644415829,0.6410151193937221
common_features,missingness_only,citation_overlap_conservative,1,4918,1230,0.3103686129698021,0.2500275089484905,1.4439623733376215
common_features,missingness_only,citation_overlap_conservative,2,4918,1230,0.5591335798044826,0.5308971107072322,1.085948202433003
common_features,missingness_only,citation_overlap_conservative,3,4918,1230,0.3106459217817047,0.2627681937149221,1.2618497323089266
common_features,missingness_only,citation_overlap_conservative,4,4919,1229,0.5005948259146904,0.3936259371969835,1.1551913538334422
common_features,missingness_only,citation_overlap_conservative,5,4919,1229,0.4059963847207814,0.3103303976074283,1.30967932895082
common_features,missingness_only,location_root_grouped,1,4949,1199,0.2404031455539904,0.27264100246384726,1.4544729117337427
common_features,missingness_only,location_root_grouped,2,4758,1390,0.2211704424385021,0.21925326074765372,1.47101671251869
common_features,missingness_only,location_root_grouped,3,4990,1158,0.1713598290943429,0.17364443054034412,1.4396965304151752
common_features,missingness_only,location_root_grouped,4,4834,1314,0.4732473768425242,0.4372816404737153,1.0297740141083433
common_features,missingness_only,location_root_grouped,5,5061,1087,0.541540467423404,0.4077811039871668,1.1182867942550063
common_features,values_no_indicator,citation_overlap_conservative,1,4918,1230,0.6294064918040992,0.6142558125473379,0.6949600068907228
common_features,values_no_indicator,citation_overlap_conservative,2,4918,1230,0.7553612419038418,0.7463810243983902,0.5522144928470528
common_features,values_no_indicator,citation_overlap_conservative,3,4918,1230,0.6297375320871121,0.6074327007003522,1.3294612428351584
common_features,values_no_indicator,citation_overlap_conservative,4,4919,1229,0.7310791002611802,0.7107921756049241,0.5681780643729778
common_features,values_no_indicator,citation_overlap_conservative,5,4919,1229,0.7677556695622099,0.7566794755107847,0.5187067512274788
common_features,values_no_indicator,location_root_grouped,1,4949,1199,0.6175749776205198,0.5754191428158784,0.7311185930412376
common_features,values_no_indicator,location_root_grouped,2,4758,1390,0.6120668950519027,0.5985660354527661,1.39938670266824
common_features,values_no_indicator,location_root_grouped,3,4990,1158,0.8139894372103426,0.7203734169460015,0.5294803465155201
common_features,values_no_indicator,location_root_grouped,4,4834,1314,0.770010793363373,0.698261534092413,0.594714124878528
common_features,values_no_indicator,location_root_grouped,5,5061,1087,0.718025094332787,0.6774772298949006,0.5651097978444429
