cv_strategy,model,n,accuracy,balanced_accuracy,macro_f1,weighted_f1,log_loss
citation_overlap_conservative,random_forest_balanced,6148,0.8490566037735849,0.7552722053577325,0.7595473591510467,0.8474332727590833,0.45500299575913106
citation_overlap_conservative,logistic_balanced,6148,0.8113207547169812,0.7402531970990696,0.7179169900915228,0.8183840828674722,0.7206153818657088
citation_overlap_conservative,dummy_prior,6148,0.5936890045543266,0.25,0.18626250255154114,0.44232799890248875,1.0884833855178602
citation_set_grouped,random_forest_balanced,6148,0.8514964216005205,0.7610462128643449,0.7687275448217799,0.8485753864853781,0.45121158964384034
citation_set_grouped,logistic_balanced,6148,0.80644111906311,0.7466926439405095,0.720733356529988,0.8132226705015022,0.7063965106318478
citation_set_grouped,dummy_prior,6148,0.5936890045543266,0.25,0.18626250255154114,0.44232799890248875,1.08848338551786
location_root_grouped,random_forest_balanced,6148,0.8121340273259596,0.6499374390627335,0.6476425556497876,0.8016648167455864,0.5739734978638512
location_root_grouped,logistic_balanced,6148,0.7799284320104098,0.6563917136094647,0.6463818262358041,0.7893192305915031,0.9207888185531299
location_root_grouped,dummy_prior,6148,0.5936890045543266,0.25,0.18626250255154114,0.44232799890248875,1.1530146698803263
random_stratified,random_forest_balanced,6148,0.9416070266753416,0.9256348558021428,0.9149742734646116,0.9421532860023198,0.23631603929913933
random_stratified,logistic_balanced,6148,0.875569290826285,0.8591227191929072,0.8224317408025104,0.8794768124945345,0.4284907631202912
random_stratified,dummy_prior,6148,0.5936890045543266,0.25,0.18626250255154114,0.44232799890248875,1.08848338551786
