fold,feature,evaluation_n,importance_mean,importance_sd_within_fold
1,SIO2(WT%),1230,0.0068125948194586354,0.0017900924866931685
1,TIO2(WT%),1230,0.05224351248165086,0.009145557669237062
1,AL2O3(WT%),1230,0.0011470921565270482,0.002368262902048792
1,FEOT(WT%),1230,0.037951341645549606,0.004721508963922509
1,CAO(WT%),1230,0.01353362761456417,0.004486799872071013
1,MGO(WT%),1230,0.007302954484251685,0.0018826813773657712
1,MNO(WT%),1230,0.029392571118201243,0.0031740868783131223
1,K2O(WT%),1230,0.05439982924851128,0.00799618321561452
1,NA2O(WT%),1230,0.015023540976821181,0.000665200009285177
1,P2O5(WT%),1230,0.019172615866248816,0.0025294508676817987
1,V(PPM),1230,0.0034375212623605398,0.0014840180850780264
1,CR(PPM),1230,0.008447199307138683,0.003592922389671516
1,NI(PPM),1230,0.018379459865219088,0.004284754385254989
1,RB(PPM),1230,0.013908112844433015,0.0009644551775278894
1,SR(PPM),1230,0.08101704623130174,0.00833485965568253
1,Y(PPM),1230,0.02540654519243855,0.005068116222768272
1,ZR(PPM),1230,0.02784343550885741,0.0036693570250272657
1,NB(PPM),1230,0.039841907135073094,0.010470829269804229
1,LA(PPM),1230,0.002238891252389519,0.0020060536455988693
1,CE(PPM),1230,0.001871935393994902,0.0027803075023866033
1,ND(PPM),1230,0.017842407281933242,0.0026993418921386365
2,SIO2(WT%),1230,0.011359119431253062,0.003661746593995004
2,TIO2(WT%),1230,0.02470416813470938,0.010320742169744079
2,AL2O3(WT%),1230,0.0002885252786450539,0.005598782355980724
2,FEOT(WT%),1230,0.009069186574180358,0.005492816830842798
2,CAO(WT%),1230,0.004730997086634825,0.004277676114427649
2,MGO(WT%),1230,0.00621544367880635,0.0006824890095526324
2,MNO(WT%),1230,-0.0013094736230587951,0.004087371166370153
2,K2O(WT%),1230,0.0074537247840088345,0.003770421652547253
2,NA2O(WT%),1230,0.0009563570972651406,0.0018204087303240375
2,P2O5(WT%),1230,-0.004440189057339709,0.0030976470731826854
2,V(PPM),1230,0.0008660273435580993,0.0012458401971142854
2,CR(PPM),1230,0.009225706126041086,0.004189880219399202
2,NI(PPM),1230,0.010891283198343427,0.004213164098100644
2,RB(PPM),1230,0.009455936686797192,0.002487542104058989
2,SR(PPM),1230,0.06628719938883483,0.009086736675080876
2,Y(PPM),1230,0.013648552165598496,0.0024759433100090523
2,ZR(PPM),1230,-0.003984305916380697,0.0062741654017030545
2,NB(PPM),1230,0.0027583471683473118,0.003264646750578275
2,LA(PPM),1230,-0.003372091174444869,0.002908417932012987
2,CE(PPM),1230,-0.0024843864161348725,0.0017514533344057186
2,ND(PPM),1230,-0.0020858554125546824,0.0025303973662695193
3,SIO2(WT%),1230,0.011053842676812234,0.005414259279470582
3,TIO2(WT%),1230,0.1380911981242605,0.008523080388122963
3,AL2O3(WT%),1230,0.01608653106661027,0.007175578753544118
3,FEOT(WT%),1230,0.02607372955058823,0.006350385988323164
3,CAO(WT%),1230,0.017839784193798003,0.004998952624311825
3,MGO(WT%),1230,0.012745895801742124,0.0035795141153715008
3,MNO(WT%),1230,0.05047919159087825,0.0063674058732492034
3,K2O(WT%),1230,0.030708168434455452,0.005781755721489066
3,NA2O(WT%),1230,-0.0009876077818775826,0.002503375148305481
3,P2O5(WT%),1230,-0.013342119921257814,0.0024829385877019145
3,V(PPM),1230,-3.903548384652048e-05,0.002557223284216878
3,CR(PPM),1230,0.013126608845595189,0.007686733275555808
