feature,importance_mean,importance_sd_between_folds,min_fold,max_fold
TIO2(WT%),0.09177412411116277,0.05088576271110763,0.02470416813470938,0.1380911981242605
SR(PPM),0.06328748881867026,0.030029249084140452,0.016088210780389745,0.09530526745913027
K2O(WT%),0.030505866259041746,0.020613971927216004,0.0074537247840088345,0.05439982924851128
ZR(PPM),0.02527682274808496,0.01853733904451134,-0.003984305916380697,0.04643305243748249
MNO(WT%),0.021212236069596657,0.021007960583358454,-0.0013094736230587951,0.05047919159087825
NB(PPM),0.021060085450291387,0.02170257649823939,0.0027583471683473118,0.04875696264827669
Y(PPM),0.0205245794033912,0.009767304189310152,0.008980300317211568,0.033834922047666804
FEOT(WT%),0.01703058993819232,0.016010258225578753,-0.0039811127230479455,0.037951341645549606
NI(PPM),0.014855000135555107,0.0033503117540158666,0.010891283198343427,0.018379459865219088
CAO(WT%),0.011584464950548653,0.00832058892480435,0.0012622511057602814,0.020555664751985985
CR(PPM),0.009286619042833788,0.0022497041191270094,0.007332009665440638,0.013126608845595189
NA2O(WT%),0.00896868317868375,0.00999624293714616,-0.0009876077818775826,0.02294878721139069
RB(PPM),0.008573880375018732,0.006409335049949092,-0.0022175740634737817,0.013908112844433015
SIO2(WT%),0.008460568317865694,0.012876717386841006,-0.011322059174559695,0.024399343836364235
AL2O3(WT%),0.0069635772545743905,0.006470739373223131,0.0002885252786450539,0.01608653106661027
MGO(WT%),0.0056027912324899155,0.004975163702338461,0.0007974992835120265,0.012745895801742124
ND(PPM),0.004362384188187174,0.011877000248959131,-0.012687776150391203,0.017842407281933242
P2O5(WT%),0.004045778996418873,0.016735004817374135,-0.013342119921257814,0.024573836941689464
V(PPM),0.002267616618457624,0.002756737435476691,-3.903548384652048e-05,0.00658006078385015
CE(PPM),0.0009899915593895802,0.006788923834551251,-0.008555439745880522,0.008893273279078998
LA(PPM),0.0007984637321012105,0.00868312455122798,-0.011930514130582881,0.009075466464436022
