feature,label,spearman_log_value_vs_shap
SIO2(WT%),ARC,0.910456811823026
TIO2(WT%),ARC,-0.9511129654315226
AL2O3(WT%),ARC,0.946894212702699
FEOT(WT%),ARC,-0.7260795419968206
CAO(WT%),ARC,-0.9013553997472122
MGO(WT%),ARC,-0.7244441403084597
MNO(WT%),ARC,-0.7529521006766808
K2O(WT%),ARC,0.88037220095303
NA2O(WT%),ARC,0.2728002923649411
P2O5(WT%),ARC,-0.7297201168561158
V(PPM),ARC,0.22761130714953487
CR(PPM),ARC,-0.833546717331359
NI(PPM),ARC,-0.8816553808632639
RB(PPM),ARC,0.8281797828811674
SR(PPM),ARC,0.8427532071787246
Y(PPM),ARC,-0.7581374576675954
ZR(PPM),ARC,-0.8465415065169833
NB(PPM),ARC,-0.9118779505768378
LA(PPM),ARC,-0.6429406641287008
CE(PPM),ARC,-0.47874070975292016
ND(PPM),ARC,-0.2657362198304501
SIO2(WT%),CIB,-0.7558227465790814
TIO2(WT%),CIB,0.7868154369529268
AL2O3(WT%),CIB,-0.30919908914631655
FEOT(WT%),CIB,0.675255011872551
CAO(WT%),CIB,-0.7300091972298621
MGO(WT%),CIB,-0.8675633167641948
MNO(WT%),CIB,0.7856725137706716
K2O(WT%),CIB,0.7821448339316941
NA2O(WT%),CIB,-0.4917438756912717
P2O5(WT%),CIB,0.6028338613890433
V(PPM),CIB,0.1577566117921095
CR(PPM),CIB,-0.7131048160493823
NI(PPM),CIB,0.30597548948566616
RB(PPM),CIB,0.6429811269326271
SR(PPM),CIB,0.8019449832762421
Y(PPM),CIB,0.48240937719004856
ZR(PPM),CIB,0.4030386175147525
NB(PPM),CIB,0.8603000121006373
LA(PPM),CIB,0.6535943652262147
CE(PPM),CIB,0.4209588239846227
ND(PPM),CIB,0.40200787332291577
SIO2(WT%),MORB,0.40032485315696703
TIO2(WT%),MORB,-0.2874373120481159
AL2O3(WT%),MORB,0.10763807563178146
FEOT(WT%),MORB,-0.9063065526549575
CAO(WT%),MORB,0.8213400981824761
MGO(WT%),MORB,0.418951102200382
MNO(WT%),MORB,-0.5326289005450169
K2O(WT%),MORB,-0.9058824503578667
NA2O(WT%),MORB,0.23231465009053873
P2O5(WT%),MORB,-0.6387983533532592
V(PPM),MORB,-0.25394337638337633
CR(PPM),MORB,0.2302741138354037
NI(PPM),MORB,0.012130538108822418
RB(PPM),MORB,-0.8891733764328128
SR(PPM),MORB,-0.8478564617838791
Y(PPM),MORB,0.8758322003591582
ZR(PPM),MORB,0.11617914352949174
NB(PPM),MORB,-0.2241333753762305
LA(PPM),MORB,-0.7739450204638334
CE(PPM),MORB,-0.44045926004905217
ND(PPM),MORB,-0.39325979445636694
SIO2(WT%),OIB,-0.810505586786474
TIO2(WT%),OIB,0.8886993205750068
AL2O3(WT%),OIB,-0.8891204365475377
FEOT(WT%),OIB,0.7068485253194035
CAO(WT%),OIB,0.48559679502913855
MGO(WT%),OIB,0.6744440122799368
MNO(WT%),OIB,-0.612916156414467
K2O(WT%),OIB,0.2216147854326015
NA2O(WT%),OIB,-0.1756938241118047
P2O5(WT%),OIB,0.7052218869658611
V(PPM),OIB,0.02118671291549236
CR(PPM),OIB,0.8004940987565429
NI(PPM),OIB,0.20212755036372132
RB(PPM),OIB,-0.15887089922917638
SR(PPM),OIB,0.7245520770018581
Y(PPM),OIB,-0.8336586528389858
ZR(PPM),OIB,0.40047767534699774
NB(PPM),OIB,0.8990715999983677
LA(PPM),OIB,0.805842817836842
CE(PPM),OIB,0.41130377564760917
ND(PPM),OIB,0.3561634406211459
