feature,label,mean_abs_shap
SIO2(WT%),ARC,0.015088849945479607
TIO2(WT%),ARC,0.06980712586704606
AL2O3(WT%),ARC,0.015735023754168194
FEOT(WT%),ARC,0.0076740154519092585
CAO(WT%),ARC,0.012693650686629936
MGO(WT%),ARC,0.006621204689623652
MNO(WT%),ARC,0.0032616283122918173
K2O(WT%),ARC,0.04424733123046031
NA2O(WT%),ARC,0.003150012127088997
P2O5(WT%),ARC,0.014930464678461397
V(PPM),ARC,0.002261174208350044
CR(PPM),ARC,0.007902112575945648
NI(PPM),ARC,0.010365024716104433
RB(PPM),ARC,0.02028087471788491
SR(PPM),ARC,0.05431559438116035
Y(PPM),ARC,0.03544339579536184
ZR(PPM),ARC,0.02705475106643389
NB(PPM),ARC,0.054204917080761
LA(PPM),ARC,0.007100392631775535
CE(PPM),ARC,0.0035360001924438843
ND(PPM),ARC,0.0034389475975150434
SIO2(WT%),CIB,0.013587817173569702
TIO2(WT%),CIB,0.037403637878182565
AL2O3(WT%),CIB,0.007229927836504897
FEOT(WT%),CIB,0.01505593162156877
CAO(WT%),CIB,0.014071214172943863
MGO(WT%),CIB,0.01035369259681269
MNO(WT%),CIB,0.02660331245537111
K2O(WT%),CIB,0.02704905714621408
NA2O(WT%),CIB,0.00439143983729129
P2O5(WT%),CIB,0.014758219995937268
V(PPM),CIB,0.003949554786651874
CR(PPM),CIB,0.01630421712424784
NI(PPM),CIB,0.019983376364439854
RB(PPM),CIB,0.009533736328044147
SR(PPM),CIB,0.03937194634479786
Y(PPM),CIB,0.007658732879077087
ZR(PPM),CIB,0.010581871866049872
NB(PPM),CIB,0.030867753388055433
LA(PPM),CIB,0.024925528679068845
CE(PPM),CIB,0.008852184146926848
ND(PPM),CIB,0.0050156729002866374
SIO2(WT%),MORB,0.018136853368860163
TIO2(WT%),MORB,0.046117183554349114
AL2O3(WT%),MORB,0.00868908483699435
FEOT(WT%),MORB,0.024253994206580393
CAO(WT%),MORB,0.01967836976260358
MGO(WT%),MORB,0.010870367949787105
MNO(WT%),MORB,0.004542916468199629
K2O(WT%),MORB,0.07127164537003555
NA2O(WT%),MORB,0.013806398596648353
P2O5(WT%),MORB,0.022193093177772228
V(PPM),MORB,0.003544118898008589
CR(PPM),MORB,0.00864630504905791
NI(PPM),MORB,0.01284922374981404
RB(PPM),MORB,0.026922462226580648
SR(PPM),MORB,0.13362973842531345
Y(PPM),MORB,0.05432596807672689
ZR(PPM),MORB,0.026436337176601182
NB(PPM),MORB,0.03096620422790714
LA(PPM),MORB,0.028723139869079345
CE(PPM),MORB,0.009376523722069131
ND(PPM),MORB,0.006942133970319997
SIO2(WT%),OIB,0.014678359318348813
TIO2(WT%),OIB,0.06038403725445105
AL2O3(WT%),OIB,0.014445747520850734
FEOT(WT%),OIB,0.02525822891039047
CAO(WT%),OIB,0.007998481455032326
MGO(WT%),OIB,0.01050914382956593
MNO(WT%),OIB,0.020999492293157066
K2O(WT%),OIB,0.011811969400711955
NA2O(WT%),OIB,0.011700453278675289
P2O5(WT%),OIB,0.022124077248540278
V(PPM),OIB,0.004694060069801571
CR(PPM),OIB,0.019446591721847335
NI(PPM),OIB,0.010149968647079509
RB(PPM),OIB,0.007557064280018836
SR(PPM),OIB,0.04733828020263181
Y(PPM),OIB,0.027283511290558657
ZR(PPM),OIB,0.020878903926988827
NB(PPM),OIB,0.03666143228830426
LA(PPM),OIB,0.0148124466819467
CE(PPM),OIB,0.0036783599687132402
ND(PPM),OIB,0.003891127424944148
