feature,mean_abs_shap_over_classes
SR(PPM),0.06866388983847586
TIO2(WT%),0.0534279961385072
K2O(WT%),0.038595000786855474
NB(PPM),0.03817507674625696
Y(PPM),0.031177902010431118
ZR(PPM),0.021237966009018443
LA(PPM),0.018890376965467606
P2O5(WT%),0.018501463775177793
FEOT(WT%),0.018060542547612222
RB(PPM),0.016073534388132135
SIO2(WT%),0.015372969951564572
MNO(WT%),0.013851837382254905
CAO(WT%),0.013610429019302426
NI(PPM),0.01333689836935946
CR(PPM),0.013074806617774683
AL2O3(WT%),0.011524945987129543
MGO(WT%),0.009588602266447345
NA2O(WT%),0.008262075959925983
CE(PPM),0.006360767007538276
ND(PPM),0.0048219704732664565
V(PPM),0.0036122269907030193
