input_spec,fold,train_n,test_n,test_georoc_n,test_petdb_n,accuracy,balanced_accuracy,macro_f1,georoc_recall,petdb_recall,roc_auc
missingness_only,1,46129,11533,10803,730,0.6655683690280065,0.5807144514651562,0.4731350433793696,0.6778672590946959,0.48356164383561645,0.5709357116681185
missingness_only,2,46129,11533,10803,730,0.6833434492326368,0.6859997666807419,0.5087902584591351,0.6829584374710729,0.689041095890411,0.6942322591771186
missingness_only,3,46130,11532,10802,730,0.6923343739160597,0.5605156832955845,0.4783445776876333,0.7114423254952786,0.4095890410958904,0.6335108541543549
missingness_only,4,46130,11532,10802,730,0.7810440513354145,0.7713608337370299,0.587702071585301,0.7824476948713202,0.7602739726027398,0.7893186320138583
missingness_only,5,46130,11532,10802,730,0.7866805411030177,0.6894299127761728,0.5654770073815569,0.8007776337715238,0.5780821917808219,0.6524954790208815
values_only,1,46129,11533,10803,730,0.8380300008670771,0.8796941869267669,0.6630508156044209,0.8319911135795612,0.9273972602739726,0.9466823649950102
values_only,2,46129,11533,10803,730,0.9192751235584844,0.9173139374019648,0.7722816659287235,0.9195593816532445,0.915068493150685,0.9605048191839151
values_only,3,46130,11532,10802,730,0.9099895941727367,0.920021152856016,0.7584559280222147,0.9085354563969635,0.9315068493150684,0.9612645299069426
values_only,4,46130,11532,10802,730,0.9106833159902878,0.8744091023225025,0.7459652655200175,0.9159414923162378,0.8328767123287671,0.9421574644979492
values_only,5,46130,11532,10802,730,0.921436004162331,0.9382653643541404,0.7815646074181117,0.9189964821329384,0.9575342465753425,0.974418233051718
values_plus_missing,1,46129,11533,10803,730,0.8512962802393133,0.8797504244762047,0.6757413407705738,0.8471720818291215,0.9123287671232877,0.9521277067887026
values_plus_missing,2,46129,11533,10803,730,0.9194485389751149,0.9103813755438304,0.7706042152324406,0.9207627510876608,0.9,0.9586414352177668
values_plus_missing,3,46130,11532,10802,730,0.9132847728061048,0.9275278804280283,0.765568339837599,0.9112201444177004,0.9438356164383561,0.9643417124682645
values_plus_missing,4,46130,11532,10802,730,0.9200485605272286,0.898567490038628,0.7681705186358782,0.92316237733753,0.873972602739726,0.9514578730980817
values_plus_missing,5,46130,11532,10802,730,0.926378772112383,0.9434583397797973,0.7913518359732417,0.9239029809294576,0.963013698630137,0.9761492671321648
