feature,label,spearman_log_value_vs_shap
SIO2(WT%),ARC,0.887302418892866
TIO2(WT%),ARC,-0.9194674226922527
AL2O3(WT%),ARC,0.8771445441601614
FEOT(WT%),ARC,-0.8486937308430464
CAO(WT%),ARC,0.14473008131161452
MGO(WT%),ARC,-0.34867623836080364
MNO(WT%),ARC,-0.6153277287265947
K2O(WT%),ARC,0.6373739166541939
NA2O(WT%),ARC,0.4863158824385667
P2O5(WT%),ARC,0.3641622909467282
V(PPM),ARC,0.3867370565207883
CR(PPM),ARC,-0.44581034834331523
NI(PPM),ARC,-0.8030317507799989
RB(PPM),ARC,-0.07680817145813086
SR(PPM),ARC,0.723800634146955
Y(PPM),ARC,-0.4084497148733504
ZR(PPM),ARC,-0.8968209023367862
NB(PPM),ARC,-0.8941956441792793
LA(PPM),ARC,-0.8248804606880781
CE(PPM),ARC,-0.7847374323849583
ND(PPM),ARC,-0.568077495910372
TH(PPM),ARC,-0.4801404260204807
SIO2(WT%),CIB,-0.623128067629995
TIO2(WT%),CIB,0.3489424454745071
AL2O3(WT%),CIB,-0.857945485659139
FEOT(WT%),CIB,0.7593287586065683
CAO(WT%),CIB,-0.8775494310161027
MGO(WT%),CIB,-0.5093923540907392
MNO(WT%),CIB,0.47254227655729114
K2O(WT%),CIB,0.21648946804080715
NA2O(WT%),CIB,0.25890308321697864
P2O5(WT%),CIB,-0.32590267891984276
V(PPM),CIB,-0.4600213736846796
CR(PPM),CIB,0.019561392910380015
NI(PPM),CIB,0.3693809179056152
RB(PPM),CIB,0.6853185148196986
SR(PPM),CIB,-0.5273163822966456
Y(PPM),CIB,0.11676771961693204
ZR(PPM),CIB,0.45591608477412876
NB(PPM),CIB,0.26136389271774785
LA(PPM),CIB,0.7410256147156752
CE(PPM),CIB,0.6972506548750401
ND(PPM),CIB,0.39592038450905204
TH(PPM),CIB,0.7675520907105458
SIO2(WT%),OIB,-0.8055702669979689
TIO2(WT%),OIB,0.8849640725586274
AL2O3(WT%),OIB,-0.7543560488771138
FEOT(WT%),OIB,0.6277226856983628
CAO(WT%),OIB,0.866171652802999
MGO(WT%),OIB,0.6951225231317165
MNO(WT%),OIB,-0.15985909816946564
K2O(WT%),OIB,-0.8312986691416692
NA2O(WT%),OIB,-0.7609798519312231
P2O5(WT%),OIB,0.2861246683037489
V(PPM),OIB,0.3574182705301897
CR(PPM),OIB,0.283778027280518
NI(PPM),OIB,0.4640794231169824
RB(PPM),OIB,-0.8634721914980444
SR(PPM),OIB,0.08285270570415613
Y(PPM),OIB,0.21912099235668467
ZR(PPM),OIB,0.818649895135574
NB(PPM),OIB,0.8932284049812754
LA(PPM),OIB,0.27374883961648105
CE(PPM),OIB,0.48279623378695125
ND(PPM),OIB,0.2298489626860708
TH(PPM),OIB,-0.8411823209269278
