feature,label,mean_abs_shap
SIO2(WT%),ARC,0.03613863999765437
TIO2(WT%),ARC,0.08285878973041903
AL2O3(WT%),ARC,0.0874935780056815
FEOT(WT%),ARC,0.03102080979126587
CAO(WT%),ARC,0.017291553193799804
MGO(WT%),ARC,0.007671407091606439
MNO(WT%),ARC,0.005361290306287173
K2O(WT%),ARC,0.014890128305452499
NA2O(WT%),ARC,0.015172373876252313
P2O5(WT%),ARC,0.006669910299949568
V(PPM),ARC,0.006696513572636009
CR(PPM),ARC,0.00911923475961083
NI(PPM),ARC,0.01489829590571157
RB(PPM),ARC,0.006758132783703126
SR(PPM),ARC,0.018049085138864624
Y(PPM),ARC,0.005480657416944186
ZR(PPM),ARC,0.019581551261940364
NB(PPM),ARC,0.05632479422495506
LA(PPM),ARC,0.01571375492550109
CE(PPM),ARC,0.017795081266537734
ND(PPM),ARC,0.00603422540624643
TH(PPM),ARC,0.009132143292744775
SIO2(WT%),CIB,0.024118542188599823
TIO2(WT%),CIB,0.04304323211521343
AL2O3(WT%),CIB,0.06550531143268376
FEOT(WT%),CIB,0.022635904372228902
CAO(WT%),CIB,0.04172796336152977
MGO(WT%),CIB,0.02283530610350962
MNO(WT%),CIB,0.010657752943476406
K2O(WT%),CIB,0.016294746162375334
NA2O(WT%),CIB,0.018140662704830914
P2O5(WT%),CIB,0.010857463139572157
V(PPM),CIB,0.013804783749644839
CR(PPM),CIB,0.017130461988817583
NI(PPM),CIB,0.018379088045705146
RB(PPM),CIB,0.01424169492782877
SR(PPM),CIB,0.025054463447029947
Y(PPM),CIB,0.010154684993143542
ZR(PPM),CIB,0.015649216677101622
NB(PPM),CIB,0.03874250844591792
LA(PPM),CIB,0.016961599137806586
CE(PPM),CIB,0.017128029748665233
ND(PPM),CIB,0.00765220148956385
TH(PPM),CIB,0.016447565104602782
SIO2(WT%),OIB,0.021260195024315327
TIO2(WT%),OIB,0.07204601416197923
AL2O3(WT%),OIB,0.024298548751365296
FEOT(WT%),OIB,0.012739934670423426
CAO(WT%),OIB,0.039017158466742655
MGO(WT%),OIB,0.025767191007481805
MNO(WT%),OIB,0.007595616450626435
K2O(WT%),OIB,0.018527899932456144
NA2O(WT%),OIB,0.018507711180524664
P2O5(WT%),OIB,0.009132452347259167
V(PPM),OIB,0.010064809818650846
CR(PPM),OIB,0.01402534576931005
NI(PPM),OIB,0.01826650855206257
RB(PPM),OIB,0.012340180803371853
SR(PPM),OIB,0.01534511502009981
Y(PPM),OIB,0.008957282821989846
ZR(PPM),OIB,0.01647685059809895
NB(PPM),OIB,0.04453813100854074
LA(PPM),OIB,0.007928471528001286
CE(PPM),OIB,0.00803329351565562
ND(PPM),OIB,0.006592380966261311
TH(PPM),OIB,0.009628099612185335
