feature,mean_abs_shap_over_classes
TIO2(WT%),0.06598267866920389
AL2O3(WT%),0.05909914606324352
NB(PPM),0.04653514455980457
CAO(WT%),0.032678891674024074
SIO2(WT%),0.02717245907018984
FEOT(WT%),0.022132216277972735
SR(PPM),0.019482887868664794
MGO(WT%),0.01875796806753262
NA2O(WT%),0.01727358258720263
ZR(PPM),0.017235872845713648
NI(PPM),0.01718129750115976
K2O(WT%),0.016570924800094658
CE(PPM),0.014318801510286194
LA(PPM),0.013534608530436322
CR(PPM),0.013425014172579486
TH(PPM),0.011735936003177632
RB(PPM),0.011113336171634583
V(PPM),0.010188702380310563
P2O5(WT%),0.00888660859559363
Y(PPM),0.008197541744025857
MNO(WT%),0.007871553233463337
ND(PPM),0.00675960262069053
